country,region,sub-region,retail-and-recreation,grocery-and-pharmacy,parks,transit-stations,workplaces,residential
AE,,,-55,-26,-53,-69,-45,26
AF,,,-38,-21,-13,-34,-33,10
AG,,,-46,-21,-30,-67,-48,17
AO,,,-61,-40,-39,-57,-11,22
AR,,,-86,-61,-89,-80,-57,27
AR,,Buenos Aires Province,-88,-60,-91,-79,-60,26
AR,,Buenos Aires,-90,-48,-91,-82,-69,31
AR,,Catamarca Province,-71,-46,-78,-81,-35,29
AR,,Chaco Province,-79,-63,-83,-92,-48,24
AR,,Chubut Province,-92,-91,-94,-93,-62,28
AR,,Cordoba,-88,-66,-90,-91,-57,30
AR,,Corrientes,-80,-63,-88,-89,-47,25
AR,,Entre Rios,-87,-65,-93,-90,-54,29
AR,,Formosa Province,-76,-53,-82,-71,-37,21
AR,,Jujuy,-80,-55,-83,-92,-44,27
AR,,La Pampa,-88,-72,-88,-87,-56,28
AR,,La Rioja Province,-70,-46,-84,-86,-40,26
AR,,Mendoza Province,-81,-56,-84,-72,-49,29
AR,,Misiones Province,-83,-66,-85,-92,-51,27
AR,,Neuquen,-96,-95,-95,-92,-72,33
AR,,Río Negro,-90,-72,-92,-96,-55,29
AR,,Salta Province,-82,-55,-84,-76,-47,26
AR,,San Juan Province,-76,-50,-80,-87,-46,28
AR,,San Luis Province,-85,-60,-89,-91,-56,29
AR,,Santa Cruz Province,-83,-62,-88,-91,-56,24
AR,,Santa Fe Province,-87,-63,-89,-77,-57,29
AR,,Santiago del Estero Province,-75,-49,-75,-90,-46,25
AR,,Tierra del Fuego Province,-87,-63,-89,-92,-59,24
AR,,Tucumán,-81,-53,-78,-90,-51,28
AT,,,-87,-64,-43,-71,-51,14
AT,,Burgenland,-83,-36,19,-43,-49,16
AT,,Carinthia,-85,-62,-45,-59,-48,13
AT,,Lower Austria,-82,-36,8,-74,-45,13
AT,,Salzburg,-93,-86,-73,-81,-59,15
AT,,Styria,-86,-61,-42,-71,-47,13
AT,,Tyrol,-95,-86,-82,-85,-65,16
AT,,Upper Austria,-86,-44,-19,-67,-47,13
AT,,Vienna,-85,-52,-44,-71,-52,15
AT,,Vorarlberg,-90,-70,-68,-79,-54,14
AU,,,-45,-19,-35,-58,-33,13
AU,,Australian Capital Territory,-40,-3,38,-52,-31,11
AU,,New South Wales,-44,-13,-27,-57,-35,14
AU,,Northern Territory,-35,-13,-20,-55,-23,12
AU,,Queensland,-40,-19,-33,-57,-30,12
AU,,South Australia,-43,-15,-33,-55,-28,12
AU,,Tasmania,-50,-30,-70,-62,-28,13
AU,,Victoria,-51,-26,-55,-68,-37,16
AU,,Western Australia,-40,-16,-37,-55,-26,13
AW,,,-88,-66,-80,-88,-72,20
BA,,,-76,-50,-22,-59,-50,13
BB,,,-70,-47,-60,-77,-52,15
BB,,Christ Church,-81,-57,,-83,-51,17
BB,,Saint George,-35,,-53,,-29,
BB,,Saint James,-76,-50,,,-56,
BB,,Saint John,,,,,-36,
BB,,Saint Michael,-70,-48,-70,-73,-55,14
BB,,Saint Peter,-74,-18,,,-31,
BB,,Saint Philip,-72,-49,,,-49,
BB,,Saint Thomas,-13,,,,-29,
BD,,,-68,-46,-26,-66,-60,24
BE,,,-84,-53,-66,-76,-52,17
BE,,Brussels,-89,-65,-64,-82,-62,19
BE,,Flanders,-82,-46,-65,-74,-50,17
BE,,Wallonia,-84,-62,-72,-77,-52,16
BF,,,-34,-25,-22,-53,-3,15
BG,,,-66,-36,-32,-58,-29,11
BG,,Blagoevgrad Province,-74,-47,-32,-55,-43,10
BG,,Burgas,-65,-38,-40,-51,-35,11
BG,,Dobrich Province,-61,-33,-38,,-19,18
BG,,Gabrovo,-61,-34,-16,,-17,17
BG,,Haskovo Province,-66,-43,-14,-67,-27,13
BG,,Jambol,-58,-44,-42,,-20,14
BG,,Kardzhali Province,-71,-48,-27,-76,-39,12
BG,,Kyustendil Province,-57,-39,-35,-46,-24,19
BG,,Lovec,-64,-32,-16,,-21,18
BG,,Montana Province,-41,-37,-18,-58,-13,11
BG,,Pazardzhik,-68,-38,-29,-69,-32,13
BG,,Pernik,-58,-31,-37,,-21,21
BG,,Pleven Province,-64,-37,-16,,-22,14
BG,,Plovdiv Province,-68,-38,-33,-54,-29,12
BG,,Razgrad,-48,-66,,,-10,11
BG,,Ruse,-58,-36,-14,-43,-25,11
BG,,Shumen Province,-63,-29,-26,-70,-20,20
BG,,Silistra,-37,-23,,,-12,-3
BG,,Sliven Province,-61,-36,-40,-51,-25,19
BG,,Smoljan,-66,-59,-42,,-41,2
BG,,Sofia City Province,-70,-35,-42,-62,-34,15
BG,,Sofia Province,-60,-35,-28,,-31,14
BG,,Stara Zagora,-63,-38,-27,-10,-29,10
BG,,Targovishte Province,-63,-31,,,-19,2
BG,,Varna,-72,-36,-54,-76,-34,12
